iter	Passed	Remaining
0	141	141351
1	143	71661
2	144	48131
3	146	36381
4	147	29327
5	148	24568
6	149	21148
7	149	18584
8	150	16605
9	152	15077
10	153	13805
11	154	12703
12	154	11767
13	155	10967
14	157	10345
15	161	9958
16	163	9450
17	164	8986
18	165	8554
19	166	8163
20	167	7810
21	168	7488
22	169	7190
23	170	6923
24	173	6782
25	175	6565
26	177	6409
27	178	6203
28	179	6012
29	180	5834
30	181	5669
31	182	5521
32	183	5386
33	185	5281
34	188	5199
35	190	5087
36	191	4977
37	192	4862
38	192	4754
39	193	4651
40	194	4552
41	195	4457
42	196	4368
43	197	4284
44	198	4221
45	200	4148
46	201	4089
47	202	4023
48	204	3960
49	205	3899
50	206	3840
51	207	3779
52	208	3718
53	208	3658
54	209	3604
55	210	3556
56	212	3520
57	214	3486
58	216	3459
59	217	3412
60	218	3366
61	219	3319
62	220	3277
63	221	3237
64	222	3196
65	223	3160
66	225	3145
67	227	3111
68	228	3088
69	230	3056
70	231	3023
71	232	2991
72	233	2960
73	234	2929
74	234	2897
75	235	2866
76	236	2835
77	237	2808
78	238	2778
79	239	2759
80	243	2764
81	246	2757
82	246	2727
83	247	2701
84	248	2676
85	249	2652
86	250	2627
87	251	2604
88	252	2582
89	253	2559
90	254	2546
91	256	2531
92	258	2517
93	259	2501
94	260	2481
95	261	2460
96	262	2439
97	262	2417
98	263	2396
99	264	2376
100	264	2357
101	265	2338
102	266	2319
103	267	2301
104	267	2283
105	269	2273
106	270	2257
107	273	2262
108	275	2248
109	275	2232
110	276	2218
111	277	2203
112	278	2188
113	279	2173
114	280	2159
115	281	2145
116	282	2130
117	283	2116
118	284	2108
119	286	2098
120	287	2088
121	288	2075
122	289	2063
123	290	2050
124	291	2037
125	291	2024
126	292	2010
127	293	1999
128	294	1988
129	295	1978
130	296	1967
131	297	1956
132	298	1946
133	301	1947
134	302	1939
135	304	1931
136	304	1920
137	305	1910
138	306	1900
139	307	1891
140	309	1883
141	309	1872
142	310	1863
143	311	1852
144	312	1845
145	314	1837
146	316	1833
147	317	1830
148	319	1822
149	319	1813
150	320	1804
151	321	1795
152	322	1786
153	323	1777
154	324	1767
155	325	1760
156	326	1751
157	328	1750
158	336	1777
159	337	1770
160	338	1761
161	338	1753
162	339	1744
163	340	1736
164	341	1728
165	342	1720
166	343	1714
167	345	1710
168	347	1709
169	348	1703
170	349	1696
171	350	1689
172	351	1681
173	352	1673
174	353	1665
175	353	1657
176	355	1651
177	356	1645
178	357	1641
179	361	1646
180	362	1640
181	363	1634
182	365	1631
183	366	1625
184	367	1620
185	369	1615
186	370	1609
187	371	1605
188	377	1620
189	379	1619
190	381	1616
191	382	1610
192	384	1605
193	385	1602
194	386	1596
195	388	1591
196	391	1597
197	394	1597
198	396	1594
199	396	1587
200	397	1581
201	398	1574
202	399	1568
203	400	1564
204	402	1561
205	407	1569
206	409	1567
207	410	1562
208	411	1557
209	412	1551
210	413	1546
211	414	1541
212	415	1536
213	417	1532
214	422	1542
215	423	1537
216	424	1532
217	425	1526
218	426	1520
219	427	1515
220	428	1510
221	429	1506
222	430	1500
223	433	1501
224	435	1499
225	437	1496
226	438	1492
227	439	1487
228	440	1482
229	441	1477
230	442	1471
231	442	1465
232	443	1460
233	444	1456
234	446	1454
235	449	1454
236	451	1454
237	453	1450
238	454	1447
239	455	1442
240	456	1437
241	457	1432
242	458	1427
243	459	1422
244	460	1419
245	462	1418
246	464	1416
247	466	1413
248	467	1410
249	468	1406
250	470	1402
251	471	1398
252	472	1394
253	474	1392
254	475	1387
255	478	1391
256	480	1389
257	481	1385
258	483	1382
259	484	1378
260	486	1376
261	487	1372
262	488	1369
263	490	1368
264	493	1369
265	495	1366
266	496	1363
267	498	1361
268	499	1357
269	502	1359
270	507	1366
271	509	1363
272	511	1360
273	512	1357
274	517	1364
275	519	1361
276	522	1362
277	523	1359
278	524	1356
279	527	1355
280	528	1352
281	531	1352
282	532	1349
283	533	1345
284	536	1347
285	539	1346
286	541	1344
287	545	1349
288	547	1345
289	548	1342
290	549	1337
291	549	1333
292	551	1331
293	554	1332
294	556	1329
295	557	1325
296	558	1322
297	559	1318
298	560	1314
299	561	1310
300	562	1306
301	563	1302
302	564	1298
303	566	1296
304	569	1296
305	570	1294
306	571	1290
307	572	1286
308	573	1282
309	574	1279
310	575	1275
311	576	1271
312	577	1268
313	578	1264
314	579	1260
315	581	1257
316	582	1255
317	584	1253
318	585	1250
319	586	1246
320	587	1243
321	588	1240
322	590	1236
323	591	1233
324	591	1229
325	592	1225
326	593	1221
327	594	1217
328	596	1215
329	599	1216
330	600	1213
331	601	1210
332	602	1206
333	603	1203
334	604	1200
335	605	1197
336	606	1193
337	608	1190
338	608	1187
339	610	1185
340	613	1186
341	615	1183
342	616	1180
343	617	1177
344	618	1173
345	619	1170
346	620	1167
347	620	1163
348	621	1159
349	622	1156
350	623	1153
351	625	1150
352	626	1148
353	628	1147
354	630	1145
355	631	1142
356	633	1140
357	634	1137
358	635	1134
359	636	1131
360	637	1127
361	637	1124
362	638	1121
363	640	1119
364	642	1117
365	643	1114
366	644	1111
367	645	1109
368	647	1106
369	648	1103
370	649	1100
371	650	1097
372	651	1094
373	652	1091
374	652	1088
375	654	1086
376	660	1090
377	661	1088
378	663	1087
379	664	1083
380	665	1080
381	666	1077
382	667	1074
383	668	1071
384	670	1071
385	672	1069
386	673	1067
387	675	1065
388	676	1062
389	677	1059
390	678	1056
391	679	1053
392	680	1050
393	681	1047
394	682	1044
395	682	1041
396	684	1039
397	689	1042
398	690	1040
399	692	1038
400	693	1035
401	694	1032
402	694	1029
403	696	1026
404	696	1023
405	697	1020
406	699	1019
407	700	1016
408	702	1015
409	704	1013
410	705	1011
411	706	1008
412	707	1005
413	708	1002
414	709	1000
415	710	997
416	711	994
417	712	991
418	713	989
419	714	987
420	724	996
421	725	993
422	726	990
423	727	988
424	728	985
425	729	982
426	731	981
427	732	978
428	735	978
429	736	976
430	737	973
431	738	970
432	739	968
433	740	965
434	741	962
435	742	960
436	743	957
437	745	956
438	746	953
439	748	952
440	749	950
441	751	948
442	751	945
443	752	942
444	753	940
445	754	937
446	755	935
447	756	932
448	757	929
449	759	928
450	760	926
451	762	924
452	764	922
453	765	920
454	766	917
455	767	915
456	768	912
457	768	909
458	769	907
459	770	904
460	770	901
461	771	898
462	772	895
463	773	893
464	774	891
465	776	890
466	778	889
467	780	886
468	781	885
469	782	882
470	783	880
471	784	878
472	786	875
473	786	873
474	787	870
475	789	868
476	790	867
477	792	865
478	794	864
479	795	862
480	796	859
481	797	857
482	798	854
483	799	852
484	800	849
485	801	847
486	802	845
487	804	843
488	808	844
489	809	842
490	810	840
491	811	838
492	812	835
493	813	833
494	814	830
495	815	828
496	816	826
497	817	823
498	817	821
499	819	819
500	821	818
501	823	816
502	824	814
503	825	812
504	826	809
505	827	807
506	827	805
507	828	802
508	829	800
509	830	798
510	831	795
511	832	793
512	835	792
513	836	791
514	838	789
515	839	787
516	840	785
517	841	782
518	842	780
519	842	778
520	843	775
521	844	773
522	845	771
523	846	768
524	847	766
525	850	766
526	852	764
527	853	763
528	854	761
529	855	759
530	856	756
531	857	754
532	858	752
533	859	749
534	860	747
535	861	745
536	865	746
537	867	745
538	868	743
539	869	740
540	870	738
541	871	736
542	872	734
543	873	732
544	874	730
545	875	728
546	876	725
547	878	724
548	880	722
549	881	721
550	882	719
551	883	717
552	884	715
553	885	712
554	886	710
555	887	708
556	887	706
557	888	703
558	889	701
559	890	699
560	891	697
561	892	695
562	893	693
563	896	692
564	897	690
565	898	688
566	898	686
567	899	684
568	900	682
569	901	679
570	901	677
571	902	675
572	904	673
573	905	671
574	905	669
575	906	667
576	908	665
577	909	664
578	911	662
579	912	660
580	913	658
581	914	656
582	914	654
583	915	652
584	916	650
585	917	647
586	918	645
587	919	644
588	920	641
589	920	639
590	921	637
591	923	636
592	924	634
593	926	633
594	927	631
595	928	629
596	928	627
597	929	624
598	930	622
599	931	620
600	931	618
601	932	616
602	933	614
603	934	612
604	934	610
605	935	608
606	936	606
607	938	605
608	939	603
609	940	601
610	941	599
611	942	597
612	943	595
613	943	593
614	944	591
615	945	589
616	946	587
617	947	585
618	947	583
619	948	581
620	949	579
621	950	577
622	950	575
623	951	573
624	953	571
625	955	570
626	955	568
627	956	566
628	957	564
629	958	562
630	959	560
631	960	558
632	960	557
633	961	555
634	962	553
635	962	551
636	963	549
637	964	547
638	965	545
639	965	543
640	967	541
641	968	540
642	969	538
643	970	536
644	971	534
645	972	532
646	973	530
647	973	529
648	974	527
649	975	525
650	976	523
651	976	521
652	977	519
653	978	517
654	979	515
655	979	513
656	980	511
657	982	510
658	984	509
659	985	507
660	986	505
661	987	504
662	988	502
663	988	500
664	989	498
665	990	496
666	991	494
667	992	493
668	992	491
669	993	489
670	994	487
671	995	485
672	995	483
673	997	482
674	998	480
675	999	479
676	1000	477
677	1001	475
678	1002	473
679	1002	471
680	1003	470
681	1004	468
682	1005	466
683	1005	464
684	1006	463
685	1007	461
686	1008	459
687	1009	457
688	1009	455
689	1011	454
690	1013	453
691	1014	451
692	1015	449
693	1016	448
694	1017	446
695	1018	444
696	1019	443
697	1020	441
698	1021	439
699	1022	438
700	1022	436
701	1024	434
